,player,strengths,weaknesses,overall,Athleticism,Size,Defense,Strength,Quickness,Leadership,JumpShot,NBAReady,Rebounding,Potential,PostSkills,Intangibles,BallHandling,Passing
208,chet-holmgren,"Extremely skilled frontcourt player who can initiate offense at every level of the floor … Has shown flashes of going coast-to-coast in the open floor, taking his defender off the dribble and getting to the rim before the opposing defense gets set … Great size (7-1) and long arms (7-6 wingspan) allow him to alter and/or block just about every shot taken in his vicinity … Elite interior defender in college who makes up for his lack of strength with length and tremendous timing in the post, though he’ll need strength to not get pushed around… Fluid shot motion and quick trigger allow him to dominate in the pick-and-pop game whenever his shot is on … Shot 39% on the season from beyond the arc, including 45% from early December until the NCAA Tournament … Can play both on and off the ball on the offensive end by attacking less mobile centers and generating space in the half-court offense with the threat of his outside jumper … Can attack opponents off the dribble and make bigger defenders pay who close out aggressively. His quick trigger and ability to put the ball on the floor make it nearly impossible to defend him fading away off screens. Long strides allow him to get from the perimeter to the rim with only one dribble and a spin … Generational talent who is bound to fill up a highlight reel every time he plays … Tremendous lateral footwork that allows him to defend 1-5 and alter almost any shot on the floor … Can pass with his back to the basket in the post and sitting at the top of the key reading off-ball movement … Decent rebounder who can get out and run any time he brings down a defensive board … Has the ball-handling and speed to lead the break in transition immediately after pulling down a rebound … Sky high  potential due to his measurements and skill set at only 20-years-old. Could become an Anthony Davis type of two way dominant player if he can fill out his frame and stretch his range while remaining consistent from beyond the arc … Impressive basketball feel and IQ for a young bigman. He can become a special NBA  player if his body develops and he can stay injury free …","Lack of physical strength (195 lbs) remains his biggest hurdle. Whether or not he can add significant weight and maintain his agility and mobility is a big question mark … While his combination of length and agility is extremely rare, it’s hard to imagine him being able to play on the perimeter as a facilitator as his size will eventually slow him down with time and age … Without better body strength, durability is a factor … More physical players can bully him under the rim and take away his length by getting him out of position and also attack him as long as they keep their dribble and put him into these difficult positions … Doesn’t get fully engaged on screens and shies away from contact, which limits the amount of separation his ball-handlers can get in this action … Struggles to stay out of foul trouble with nearly 4 fouls per 40 minutes in only season at Gonzaga … Didn’t put up great numbers against elite competition and disappeared for large periods at a time in these big games … 71% from the Ft line gives some pause to the idea that he’s an elite shooter … Appears that he can be an 80% FT shooter in the NBA due to his form and touch, but his college numbers did not prove that … Impressive shooting numbers from three giving him obvious intrigue as a perimeter scorer, but he did hit just 41 threes on the year and 1.3 per game (a low volume) and against a lower caliber of opponents playing in the WCC …",97,8,9,9,6,7,8,8,8,9.0,9,8.0,8,,
209,chimezie-metu,"Metu knows how to use the triple-threat to keep opponents on their toes, possessing a quick first step, capable of taking opponents off the dribble … He is an exceptional athlete (6’11”, 225 pounds), possessing a 6’11” wingspan … He does a really good job of using his size and length to his advantage (7.4 rebounds, 1.7 blocks, and .8 steals) … He knows how to get position and battle inside for rebounds … Very fluid in the open floor, capable of leading a fast break and handling the ball in the open floor … Knows how to find open shooters … Can be effective as a rim runner in transition and clean up on the offensive boards in transition … Length and athleticism make him very effective in converting ally oops … His shot has improved significantly during his time at USC … In his freshman year, he shot 51.3% from the foul line and only attempted one three-point shot, averaging 6.4 points per game … In his junior year, he shot 73.0% from the foul line and shot 30.0% from 3-point range on 1.2 attempts per game, averaging 15.7 points per game … He’s very comfortable finishing around the rim whether it’s off the dribble, a put back, or catching the ball down on the block … His jump hook is improving and becoming much more reliable … He is starting to develop a nice post fade away, floater, etc … He knows how to recover on defense and has a really quick second jump, which allows him to block shots and grab rebounds effectively … He can play at a high level and with a high motor ""when he wants to"" … Knows how to “bring it.” Doesn’t give up on rebounds … Can elevate with ease and throw it down … Shooting percentages are not indiciative of the type of shooting ability that he possesses, (52.3 fg%, 73.0 ft,% 30.0 3p% ) which is intriguing in terms of what he can become, but disappointing in what he has failed to achieve …","He needs to develop more consistency inside … Offensive repertoire is getting more developed, but he still needs to be more consistent with his jump hooks, etc … Especially when he is contested … He sometimes forces it when nothing is there … He needs to improve his ability to read defenses and make the right play … While he has the speed, quickness, size, and overall athleticism, he needs to play more physical inside … He struggles to finish through contact and throw it down in traffic … If defenses crowd him, he has a much more difficult time scoring and making plays … He needs to do a better job of establishing position down on the block and not getting pushed around … He needs to do a better job of putting the ball on the floor before he moves … He has the tendency to take an extra step after moving his pivot foot before dribbling, resulting in a travel … Finishing with his off (left) hand needs work … He has a hard time with left-handed hooks inside, etc … There are also concerns about his ability to keep his head … He got suspended for punching a player in the groin and has developed a reputation of being a bit reckless in that regard … General focus and maturity must become better and he must learn to compete at all times on the floor … During his pre-draft interviews, he’ll need to prove to league brass that he’s capable of handling the NBA grind and being a true professional …",89,8,8,7,8,8,6,8,8,8.0,7,7.0,6,,
210,chinanu-onuaku,"Center with a strong frame, especially given his age, who was a defensive force when he was on the floor for Louisville … With a 7’2.75” wingspan and over 9’0” standing reach, along with weighing in at 245 lbs, measures in at around or above average for a post … Moves feet quite well for a big man and covers a lot of ground on defense … Load to move down low, showed improvement as a post player … Will make rim runs, has a decent stride to him and definitely has the strength to battle inside, along with potential to increase his already impressive girth … Was a valuable rim protector, shows good timing as a shot blocker and is quite good at playing with his arms straight up … Also had a pretty nice steal rate for a big man, makes a lot of plays defensively … Factor on the offensive boards, works hard and knows how to use his body … Willing to do a lot of the things you want your big man to do, to the point of shooting FT’s underhanded in hopes of improvement, as he went from 46.7% FT as a freshman to 58.9% FT as a sophomore … While his hands are not very big at his size, does have a quick reaction time, which enables him to do things faster than most centers … Showed very nice vision, which makes up for his limitations as a shooter and lack of creativity as a post player … Also a strong defensive rebounder, closes out possessions to go along with knowledge of how to alter shots without getting moved far out of position … Ability to make decisions on the move sets him apart from a vast number of young big men … Finished a high amount of his attempts near the rim … His ability in the pick-and-roll, playing off the ball, also show signs of being a good teammate … Still only 19-years old, does not turn 20 until November and already possesses strength that sets him apart","Quite limited offensively, has not shown much ability to stretch the floor or post moves … Lacks speed to do much off of the dribble or the footwork to consistently pose much of an issue once he has the ball on the block … Plays very upright, which sometimes causes him to get pushed off balance … Still a rather poor FT shooter, who did not get to the line very often … With the NBA now leaning towards the “hack-a-whoever” mode, will still be a possible liability on the floor offensively … Will gamble and make some bad decisions as a passer, very high turnover rate given his usage rate … Gambles and uses his hands a lot as a defender, resulting in foul trouble on quite a number of occasions … Not an explosive leaper, will likely have a much more difficult time finishing and challenging at the rim in the NBA … Conditioning will be something he needs to develop in the NBA, can lose some focus when he is tired … While he runs alright, still not particularly fast and will have a tough time staying in front of quicker players … Measured with only 8.00” hand width, among the smallest at the NBA Draft Combine in 2016 … Averaged only 7 FGA’s per game and played just 24.6 mpg, expecting him to do much more than that will take quite a while … Was not cleared to begin private workouts with teams close to the NBA Draft Combine as it was discovered he had a heart rhythm issue known as “Wolf-Parkinson-White syndrome”, which required surgery and will definitely be something that should be monitored",85,7,8,8,8,7,7,6,6,8.0,7,6.0,7,,
211,chris-clemons,Has incredible athleticism with an alleged 44 inch vertical… Very quick player… Fantastic free throw shooter at 85.2% through his four-year college career… Knows how to get to the free throw line with 8.6 attempts per game his senior season… Is active defensively averaging 1.6 steals per game in college… shot 36.3% from behind the arc in his four years in 9.4 attempts per game… Is an efficient scorer both inside and out (53.6 % on 2-point attempts in college)… Good rebounder for his size (4.5 rebounds per game in his four years)… Good body control in the air allows him to draw contact and finish through it as well… His incredible speed makes him hard to stop in transition… Good touch around the basket with floaters and mid-range jumpers…,"The obvious weakness is his size at just 5’9… Size will lead to difficulty on offense at the next level with larger more athletic rim protectors… Will have difficulty getting shots off over taller perimeter defenders… Will be difficult to be a good enough defender at the next level… His level of competition is questionable in the Big South… Was never able to lead his team to the NCAA tournament despite leading his team in scoring all four years… May be a product of the Campbell offense but was almost always looking to score and did not get teammates involved with just 2.6 assists per game in college… Will turn 22 in July, which is not that old, but lacks upside, teams know what they are going to be getting out of Clemons when they sign him…",86,8,6,7,7,8,8,8,7,,6,,7,7.0,7.0
212,chris-daniels,"An intriguing prospect because of his size and ability to play on the perimeter … Shows range well beyond the college 3, and his mechanics are very fundamental … Has the ability to put the ball on the floor, shooting the pull up, as well as taking it all the way to the hoop … Seems to be very unselfish, where he is willing to give the ball up on the perimeter as well as by kicking it out from the post … A very effective pick and pop type player because of his size and shooting ability … Has good hands, mobility, coordination, length, athleticism and he also runs the floor well, all assets that make him an attractive big man … With his length and activity he is a very dangerous weak side shot blocker …","He lacks any sort of fundamentals in his post defense, where he allows much weaker and smaller players to score on him … Other than a questionable right jump hook, he lacks any other inside post moves … Has little patience with the ball around the hoop, and he is reluctant to make moves against stronger defenders, which is a big downside for a 7 foot big man … His passiveness and fear of contact leads to many unforced turnovers; he would rather kick the ball out than impose his will on smaller players … Statistically, he has taken steps back, where in his senior year he has been far less effective than during the junior and sophomore seasons … Part of the problem that may account for his decrease in production is because of the program he is in, suffering through an 8-20 season and being one of the two seniors on a squad that features 8 freshmen, he seems to have gotten the raw end of the deal because he is the odd man out and definitely not the focus of the offense …",85,7,9,7,7,7,7,9,7,6.0,6,6.0,7,,
213,chris-douglas-roberts,"Versatile guard with a lot of moxie … Steps up his level of play in big games and wants to take the big shot … Has a very good midrange game using runners and ball fakes and has solid touch on his shot … Excellent off the dribble creating shots for himself or others. A very good ball handler. … Very crafty around the basket … Spent time playing point guard in high school and early in his college career … He handles the ball very well for a 2-guard … Also has solid vision and passing skills … A decent athlete with good leaping ability but nothing extraordinary … Good quickness. Runs the floor well … Solid defender who doesn’t gamble much for steals and stays in front of his man, using his long arms to limit open looks … Shows solid toughness to play through pain when injured … Smart player who shows good leadership ability …","Very weak physically. There’s a lot of question marks about whether he can successfully add weight to his frame. (There’s a reason some guys wear t-shirts under their jerseys) … He appears to be one of those types who was meant to be skinny and added weight could limit his mobility to some degree (Richard Hamilton has made it work, but Rip is on another level athleticially) … His lack of bodystrength hurts his ability to absorb contact and fully utilize his athletic ability … Stronger players are able to knock him off balance and push him around … He’s not a great outside shooter, despite shooting at a high percentage halfway through his junior year (20/40) from three, he takes a low volume of shots and gets a lot of open looks thanks to playing with one of the top point guards in college (Derrick Rose) … His a/to ratio has fallen off (1.5/2.3) since he has focused more attention on scoring … Needs to do a better job of protecting the ball on drives and make better decisions passing the ball …",90,8,7,7,6,7,8,8,7,,8,,8,8.0,8.0
214,chris-duarte,"Gifted and natural scorer … Scored over 17 points per game this season for Oregon while shooting 53% from the field…Is a very good decision maker, and understands when to take shots versus when to pass … Elite three-point shooter, converting 42.4% of his threes on five attempts per game … Shot selection pairs well with the modern NBA, with 77% of his field goal attempts either at the basket or behind the arc … Elite finisher, as Duarte made over 71% of his looks inside, and has an immaculate 63.3% effective field goal percentage … Has solid size and weight to play the shooting guard position immediately at the pro level … Very good free throw shooter at 81% this season … Took a significant step forward as a senior, developing his scoring ability to become a perimeter threat, and scored five points per game more while raising his field goal percentage … Has a quick, smooth and high release on his jump shot … While he is not overly athletic, his ability to shoot from beyond the arc and finish consistently inside raise his floor as a high-level scorer … Also a tenacious defender, and averaged just under two steal per game this season … Has the length and strength to guard point guards through small forwards in the NBA … Is always engaged defensively, and understands where to position himself … Very good at keeping his man in front of him on dribble penetration … Quick and active hands, leads to steals and well contested shots … Had 21 blocks this season, and can use timing to repel smaller guards shots … Solid rebounder, boxes out well…Has the handle and vision to be an effective secondary playmaker, but was rarely given the opportunity to run the offense at Oregon …","At 23 years old, Duarte’s most glaring weakness is his advanced age for a draft eligible player … He handles the ball well, but was rarely impacted with assists, averaging just 2.3 this season … He is limited athletically, and his lack of speed and vertical may make being a lockdown defender challenging, as well as creating his own shot more challenging … His scoring and defense give him a high floor, but his age and athleticism somehwat limit his ceiling … Will need to turn the ball over less to be given the chance to have the ball as a playmaker so often, as he averaged nearly as many turnovers as assists this season … Duarte should be a solid player in the NBA, but it is difficult to see more than a good three and D player with his lack of burst and upside …",90,8,8,7,7,7,8,8,9,,7,,7,7.0,7.0
215,chris-johnson,"Emotionally invested player. Johnson doesn’t hang his head after bad plays, he does his best to make up for it on the other end (e.g., chasing down an opponent after a live-ball TO and pinning his shot against the backboard). Adept at moving without the ball in the half-court and finding different spots b/c of Dayton’s 4-out offense … The lefty will knock down shots if left open and does not hesitate to hoist it from deep (took 24 3’s in 3 games in Portsmouth) … Shot right at 40% from 3 as a senior on more than 5 attempts a game … Not especially quick but he is fast … Crashes the weakside glass on offense consistently. Good help and recover defender … Tends to make quick decisions with the ball on offense – not a lot of wasted dribbles (PG dominated the ball at Dayton).","Body language wanes in stretches (hands on hips for a bit if he’s opposite the ball and it’s not being reversed, for example) … Needs to do a better job of coming low-to-high off screens and being ready to catch and shoot … Also needs to improve on moving with a purpose without the ball/setting up his cuts (even if he’s just replacing himself) in order to make his defender work harder. Tends to make himself easily guardable in halfcourt possessions that have broken down …",87,8,7,7,7,7,7,8,8,,7,,7,7.0,7.0
216,chris-livingston,"Strong, compact build (6’6”, 219 lbs) should allow him to handle NBA physicality … Rebounded the ball well to close his single season of college play, averaging 7.9 per game over the final 8 games despite playing next to the NCAA’s leading rebounder … Good explosiveness. Solid leaper who finishes well on the break … Recorded a 37 inch max vertical at the NBA Draft Combine … Excels at crashing the boards from the perimeter. Makes good cuts on offense that can allow him to get easy looks if playing next to a quality playmaker … Has a compact, consistent shot release that if honed, could develop into a threat – especially from the corners where many of his college attempts came from … Can finish strong on straight line drives to the rim. Will run the court in transition looking to get easy baskets. Can use his size and strength to bully smaller defenders around the paint …","Has no real concept of what he is as a player and what his limitations are – played a small ball four in college, but seems to believe he is more of a wing player. .. Extremely loose handle with no creation skill … Has very little wiggle to his game – isn’t going to go around anybody with the ball in his hand. Lacks offensive versatility, practically all of his offense came right at the rim or from three – nothing in between … Shot only 30.5% from three in college on 1.7 attempts per game. Most of his offense was the result of a teammate setting him up or from him getting an offensive rebound and putback. His slow, two footed gathers when attacking the rim will allow NBA level players enough time to recover and contest his looks at the rim. Has essentially two moves when driving to the rim, a weak euro step without mush side to side movement and trying to drive right through defenders which could lead to offensive fouls. Rarely gets to the free throw line (1.6 attempts per game). Ball tends to stick in his hands on offense and he doesn’t create looks for others (lowest assist rate on team amongst players with 200 minutes). Lacks lateral quickness to defend wing players at the next level … He’s an explosive athlete, but seems to lack ideal coordination and smoothness/flexibility in his movements …",86,8,8,7,8,7,7,7,7,,7,,7,6.0,7.0
217,chris-lofton,"Figures to be one of the biggest stars in the college game in his senior season … A pure shooter, maybe the best on the college level … Can make shots with just an inch of daylight … Shows range out to NBA three point … Lives for big shots and hits them regularly … Scrappy competitor, who seems to thrive on proving people wrong … Solid body strength due to his great work ethic and dedication to improving his body … Very crafty at creating shots for himself despite his physical limitations … Has shown the ability to step up in big games, he outscored Kevin Durant 35-26 in their match up last season leading Tennessee to victory … Besides his outside shooting ability shows a solid shot selection and ability to score from midrange …","Painfully small and unathletic for the NBA SG position … It’s questionable whether he has the size and quickness to make it in the NBA despite his great shooting ability. He has little to no point guard skills to speak of, and his defense will be a huge liability as he has slow feet and is way undersized at the 2-guard position. His only shot is as an instant offense sparkplug off the bench, however even then it’s tough to imagine how he can do enough outside of shooting to justify a roster spot … Will really stuggle to create shots for himself on the next level with 6-6 athletes covering him night in and night out … Lack of a quick first step makes getting open looks difficult for him … A less athletic version of Trajan Langdon. Best suited to play in Europe …",85,5,5,6,7,7,8,10,8,,7,,8,7.0,7.0
218,chris-mccullough,"Great size and length at the four spot to go along with top-notch fluidity when running the floor and getting off the ground … Scores, rebounds and can defend high above the rim … Very dangerous in transition, uses very good angles when running with guards and attacks the basket with regularity … Ability to put the ball on the floor and makes quick moves to the basket, draws a lot of fouls and gets good looks close to the hoop … Has potential to stretch the floor with his outside shot. Confidence in jumper is building and he is a threat to knock down the open 15-17 footer, with range even out to the college three point line … Athleticism and length make him a high level offensive rebounder, keeps a lot of possessions alive … Has been very aggressive and while some expected for him to come along slowly, he’s showing a lot of ability as an offensive option … Unselfish, shows some decent passing ability out of the post and has the look of a strong high post passer … His maturity and fast transition to the college game is incredibly promising, though it is a limited sample size, he certainly has made a major impact … Lateral quickness is great for his size, he affects shots on the perimeter and can be a versatile defender … Nice timing as a shot blocker, can get to shots at their apex and is someone you must account for when driving to the basket … His body and willingness to buy in to Syracuse’s schemes are great signs … Level of activity on both ends has been fantastic, especially seeing that some labeled him as not having a “high motor” … Frame that should add weight over time, just looks like he was meant to play basketball with a skillset that will give coaches a lot to work with …","While he has added weight, his body still has a ways to go … Will play a bit high at times, which makes it difficult for him to fight for position on both ends in the post … Not much an option with his back-to-the-basket at this point in time, needs to work on establishing some moves and counters near the basket … Still needs to work on his ball skills, handling and possibly having a higher release point on his jump shot … Fundamentals as a rebounder can definitely use work and would make him even more dangerous on the boards, must do a better job of putting a body on his opponent and boxing out … A year older than a typical freshman, may have helped in his readiness for college and will be something to keep in mind when comparing him to other freshmen … Awareness on both ends of the floor needs work as he can lose focus at times and let offensive players get behind him … Range and consistency on jump shot will need to be fine tuned … Mistake prone at times, will improve with more focus and better adjusting to the tendencies of his teammates … Can get into foul trouble, mostly due to lack of strength and at times a lack of focus … Has been known to have questionable shot selection and drift to the perimeter, which goes away from his strengths as a cutter, pick-and-roll option and generally attacking the basket … Communication and leadership are both things that will need work once he is at the highest level …",92,9,9,8,6,9,7,8,6,8.0,9,6.0,7,,
219,chris-mihm,"Very good offensive game, can score in many ways on the block. Good medium range shooter. 7 footers with his agility are rare. Potential is very good.","Doesn’t always rise to the occasion. Lacks great quickness. Needs to show more emotion, aggresiveness. Not a great athlete but a very good one.",95,8,9,9,7,7,7,8,8,8.0,8,9.0,7,,
220,chris-richard,"Bullish strength … Loves to defend in the post, and seems very comfortable banging down low with anyone … Seems to enjoy doing the dirty work … Strength allows him to box out well and push people around in the paint … Surprisingly good free throw shooter for someone of his skill set … Doesn’t try to force his offense, lets the offense come to him … Great field goal percentage throughout collegiate career … Good at setting picks … Hustles hard … Practicing every day against Al Horford and Joakim Noah has definitely helped him learn to defend more athletic big men…","May struggle to keep up with the speed of the NBA game … Doesn’t have great hands, and muffs some passes … Lacks stand out athleticism which limits his potential … Also struggles to block shots and cannot out leap most opponents for high rebounds … Is only 6-8 and doesn’t have great length … Has never held a starting role for a prolonged period of time … Not a real offensive minded player … Has a tendency to get into foul trouble, even in limited time …",85,7,7,7,9,6,7,6,8,8.0,6,7.0,7,,
221,chris-walker,"Elite level athlete, especially at the college level … He has got great length (7-1 wingspan) and can jump out of the gym … Runs the floor well when he wants to and can finish extremely well on the fast break … Shoots a high percentage due to most of his offensive attempts coming on alley-oops and put backs off of his teammate’s penetration … On the defensive end, he can block shots with the best of them but struggles containing his man on the block … He’s a good rebounder at 12.3 boards per 48 minutes … Knows he’s not a great shooter and resists floating out on the perimeter and taking those shots even though teams will give them to him a la Josh Smith …. Finishes fairly well at the rim considering how much weight he is giving up to bigger post players … When his mind is in the right place and he’s motivated, there aren’t many guys that can match his athleticism in college …","Still extremely raw on both sides of the floor … He’s a skinny kid who needs to get in the weight room and put on 20+ pounds of muscle … His lack of size leaves him as somewhat of a tweener when it comes to an overall position … He’s not strong enough yet to play the PF spot and lacks the lateral quickness and range to play SF … Lack of strength and skill development brings up legitimate questions about his work ethic … Outside of dunks and put backs, he lacks any real offensive game to this point … He doesn’t have a go-to post move and struggles when he has to make a power moves in the post … He is a year and a half into his college career and hasn’t even played a full season’s worth of games due to suspensions and eligibility issues. Scouts question his motor as he has a tendency to take plays and games off. Very inconsistent as he could give you a 15-5-2 line one night and then come back with a 4-2-0 line the next night.",84,9,9,6,6,8,6,6,6,8.0,8,6.0,6,,
222,chris-wright-2,"Wright is a strong guard at 6’1, and possesses athleticism, a quick first step and excellent footwork with and without the ball in his hands … He changes directions very smoothly and has great speed in transition where he shows good vision and an ability to finish at the rim with either hand after contact … Even at high speed he always seems to be under control and poised … Shows a nice touch with his runner in the lane … His outside game is average, not great but not terrible in terms of percentages (33% from 3) … His clean shooting release and form bode well for gradual improvement … When his feet are set, he looks comfortable shooting from three point range off spot up situations, as well as pulling up off the dribble inside the arch … Always active, Wright moves well without the ball using screens to free himself up … Defensively, his 1.5 steals per game are a result of his quickness and high activity level …  Displays high intensity on and off the ball","Wright has a few question marks concerning his ability to make the transition to the next level- primarily his ability to run a team and play the point guard position for extended minutes … He hasn’t proven to be a full time playmaking point guard yet playing in a system that stresses ball movement and constant motion … He lacks advanced ball handling moves, which limits what he can do in terms of playmaking and creating for himself …  It would be in his best interest to continue to improve his three point percentage, as his point guard skills alone won’t get him to the next level … Playing the 2 at the next level will not be a likely option at his size – 6’1…",89,8,8,8,8,8,7,7,8,,7,,7,7.0,6.0
223,chris-wright,"Tough to talk about “Top Flight”  Wright without discussing his top-flight athleticism…Shows electric leaping skills and explosiveness, and is very quick on the perimeter… Also possesses the prototypical build of an NBA wing, with a strong 220 lb frame and good height at 6’8 … Safe to say, Wright is one of those guys who looks the part of a basketball player and then some…More than capable of a circus-type dunking display at the rim…Plays fearless, and is willing to throw his body around…Looks great running the floor…Thanks to his athleticism and reckless abandon, Wright is an excellent rebounder on both ends, often grabbing boards over bigger players…Capable of using straight-line slashes to get to the foul line and to get high-percentage shots around the rim…Shows the ability to score without plays being run for him, by hustling for rebounds and making cuts to the rim…Played some PF for Dayton, and used his strength and athleticism to hold up on both ends against bigger players, and was generally too quick to not be a mismatch in a good amount of scenarios…Has had a few games were he strung together outstanding defensive performances…Has the versatility to defend SG-PF, and will be a nice weapon to have in pick and roll D depending on how his future coach decides to switch and hedge…Pretty good shot-blocker…Has been on scouts radars since he was Sr. in HS, and was much more highly touted than a typical mid-major prospect before arriving to Dayton","Although Wright shows prototypical size and athleticism for a wing prospect, his skill set is still raw and like that of a combo forward…Deemed a prospect with upside coming out of HS, Wright’s production and improvements within his skill set haven’t raised much at all…Possesses an underdeveloped handle and it makes it hard for him to show off his athleticism in half-court offense, where the ball clearly slows him down a good bit…A bit turnover prone with the ball in his hands, as his handle is too high…Also not a good shooter, but gets overconfident and is very inefficient (30% shooter on jump shots as a Sr., on 100 attempts) with it…Although his confidence is a good development, he hasn’t improved enough as a shooter to take the shots he does and in turn his FG% was lower than it should’ve been…Doesn’t have NBA range at all…Struggles from the free throw line…Possesses a very limited feel for the game, especially for a guy with his experience…Plays so hard that he can tire fast and/or pick up bad fouls, so his minutes were monitored at Dayton…",87,9,8,7,8,8,7,6,7,,8,,7,6.0,6.0
224,christ-koumadje,"A total mismatch for just about any team he faces at 7’4, 265 lbs. … Exceptional at catching lobs in a transition offense … Can score from anywhere in the paint with ease on some matchups … Can rebound against the best of them both offensively and defensively … Runs the floor exceptionally fast for his size … Has a nice hook shot from a decent distance and can make it with either hand … Great rim protector … Averaged his 1.4 blocks per game his senior season in just 15 minutes of play … Active feet defensively given his size … has good court vision and can make passes to cutters or shooters … Solid pick and roll player …",Needs to improve jump-shot and range … Plenty of room to improve free throw percentage from 58 percent his senior year … Lacks consistency and just needs more reps and minutes … Needs to develop more of a low post game … Somewhat predictable with always looks for the lob from a guard … Trouble handling the double-team that comes often given his size … does not always make the best pass … Can continue to improve rim protecting … Room to improve sliding his feet on defense and rotating … Will turn 23 in July …,86,7,10,9,8,7,6,6,7,8.0,6,6.0,6,,
225,christian-braun,"A 6’7 215 SG/SF with good size, strength and athletic ability for a wing prospect … Competent floor spacer with consistent mechanics and footwork when spotting up (38% 3FG as a Jr., 37% for his career) and takes smart shots within the offensive flow … Was very good in transition as a college player; runs the floor with a purpose and is effective as a shooting valve when trailing … Showed he can handle the ball in the open court in spurts too, and that he can finish above the rim with no problem…Has enough strength and leaping skills to convert through contact with some success too (54% FG inside the arc as a Jr.) … Plays with a good feel for the game; makes timely cuts for easy finishes off the ball and finds open areas along the wing for shot opportunities when the defense collapses … Makes sound reads as a passer (2.8 apg as a Jr,), nothing flashy but is effective making dumpoff passes to bigs and finding open perimeter players via drive and dish … Decisive decision maker and the ball doesn’t stick to him for long … Has a knack for attacking aggressive closeouts and getting to the rim … Competitive with solid activity level; contributes on the glass on both ends (6.5 rpg), fights to get back in position when beat off the bounce or working through screens, and scraps for loose balls … The type of player who contributes in a number of ways, some that may not necessarily show on the stat sheet … Was often asked to match up with perimeter and frontcourt players alike in Kansas’ switch heavy defense (esp this past season) and didn’t back down from the challenge … Has good awareness as an off ball defender; understands how to position himself between ball and man to disrupt passing lanes and come up with deflections … Has shown enough strength and effort to hold up OK at the point of attack as a perimeter defender in the pros as well … Blocked 33 shots as a Jr. (tied for 2nd on the team), a nice number for a wing prospect…Improved his scoring exponentially every season (14 ppg as a Jr.), added polish to his floor game each season … Has experience and championship pedigree; will certainly have coaches and organizations that will be endeared to his skill set and intangibles","Can contribute in a number of ways, but doesn’t truly stand out in any particular skill … More good than bad as a jump shooter, but Braun was inconsistent with it during his career at Kansas despite rarely having to take difficult shots (mostly spot-ups with space) and endured a slump or 2 from deep in each of his last 2 seasons after shooting a scorching 44% from 3 in limited minutes as a Fr … Only OK FT shooter numbers (career 74% FT, 73% as a Jr.) shows that he’s solid but not elite with his shooting touch … Doesn’t always shoot with confidence and passes up open shots occasionally, can be unselfish to a fault … Offers very little in the way of a mid-range game, would help to develop a floater … Pretty bland repertoire of moves and gets stalemated if his initial driving lane is cut off … Mediocre ball-handling ability, not particularly fluid or quick off the dribble … Has the functional size and athleticism for the perimeter, but doesn’t possess the length that would allow the positional versatility and shot-blocking production he showed defensively this past season to translate well to the pros … A capable passer but more within the flow of the offense, does not project as a facilitator or true secondary playmaker who has much offense ran through them at the NBA level … Lacks great length with just a +1 wingspan (6’6.5)  in relation to his height …",91,8,8,8,8,7,7,8,8,,7,,8,7.0,7.0
226,christian-koloko,"A rangy 7’1 220 big man with the length (7’5 wingspan) and mobility to fill a traditional C role at the pro level…Also has the wide shoulders to add muscle to his frame without the loss of athleticism…A late bloomer who had a breakout season as a rim protector and at-the-rim finisher during his Jr season after being a modest contributor early in his career….Steadily learning how to use his length very well to smother players defensively and is a presence penetrators must locate on any slashes or cuts to the paint (nearly 3 BPG as a Jr)…Pretty fluid athlete for his size and can cover massive ground, making him a factor as a shot blocker even in the mid-range area and when switched on smaller players…Has strong hands and does a good job of keeping the ball high on rebounds and finishes, minimizing the chance of players from stripping him of the ball…An outstanding finisher at the rim (63 FG% as a Jr.) and usually looks to dunk the ball with authority in close….Active motor and shows a good nose for the ball on the offensive glass (2.5 ORPG the past 2 seasons); gets his fair share of putbacks and will take advantage if you don’t put a body on him when shots go up…Developing ability to shoot from mid-range is worth keeping an eye on, Koloko is currently more willing to take jumpers than at the beginning of his career…Solid FT % for a C shows potential signs of growth as a face-up threat (73 FT% as a Jr. after modest percentages his 1st 2 seasons)…Improving passer in the low to mid post area, it’s obvious the college game slowed down for him this past season","Needs to add more muscle; can at times get knocked off his pivot by physical defenders at the point of attack…Not much more than a lob threat or rim runner offensively…Becomes much less effective the further he gets away from the rim, doesn’t have the touch to be much of a scoring threat when he has to take shots that aren’t dunks…Very raw post game and has awkward possessions when he can’t simply dunk the ball or if his initial move is cut off…Will take some 12-15 ft shots if the defense gives him room, but is not much a threat as a shooter right now…Inconsistent fundamentally on defense; when he guards players facing him up outside the paint he often comes out of his stance and plays too upright leading to fouls and open driving lanes…Doesn’t contain crossovers and misdirection moves in space well enough to seamlessly adjust to the more switch-heavy principles of most current NBA defenses…Will bite on pump fakes and get overzealous attempting to swat shots…Can be a bit foul prone (2.8 FPG as a Jr.), though to his credit he did improve in that area this past season…A late bloomer but will be 22 on draft night and will have questions about how much further he can develop and improve his skill set",90,8,9,8,7,7,8,7,7,7.0,7,7.0,8,,
